1;(GET|POST);;10069
2;HTTP\/1\.(0|1);;10000
3;.+;;10000
4;".*?";;30000
5;(0?[1-9]|[12][0-9]|3[01])\/\w+\/\d{4};;10004
6;:([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9];;10000
7;%[0-9A-F]+;;2720
8;\d+(\.|:)\d+(\1\d+){0,};;65297
9;\d+ \d+;;9365
10;HTTP/\d+\.\d+;;10000
11;^\d{2,3}(?![0-9]);;9870
12;"[^"]+"$;;10000
13;\+0000(?=]);;10000
14:(?<=:)([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9];;10000
15;".+?"(?= \d);;10000
16;GET(?! \/favicon\.ico);;9153
17;(?<!GET )(?<= )\/blog.*?(?= );;17
18:(?<=/)\d{4}(?=:);;10000
19;(?<=GET )\/.*?(?= .*200 -);;180
20;^\d{1,3}(\.\d{1,3}){3}(?=.*\(.*Googlebot.*);;530
21;\b([1-9]?[0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])\b;;;por comprobar
22;^([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])(\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])){3}\b;;10000
23;\[(0[1-9]|[12][0-9]|3[01])\/(\p{Lu}\p{Ll}{2})\/(\d{4}):([01][0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9]) (\+\d{4})];;10000
24;(?<=(\d|-) ")(https?:\/\/(\w|\d|\.|-|_|~|(%|\\x)[0-9A-F]{2})+|-);;10000
25;(?<=" )\d+ (\d+|-)(?= ");;10000
26;(?<=(\d|\w|-) )(\w+|-)(?= ?(\w+|-)? \[);;20000
27;^([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])(\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])){3}(?= .*?\[(0[1-9]|[12][0-9]|3[01])\/(\p{Lu}\p{Ll}{2})\/(\d{4}):(0[0-6]|2[23]):);;3234
28;^([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])(\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])){3}\b(?=.*?(\d|-) "-" "-");;187
29;(?<="POST .*" (?:(?:\d+|-) ){2}")((https?:\/\/(\w|\d|\.|-|_|~|(%|\\x)[0-9A-F]{2}|\/)+)|-)(?=" )(?!" "-");;2
30;"GET.*"(?= [0-9]);;9952
31;^([0-9]\.|[1-9][0-9]\.|1[0-9][0-9]\.|2[0-4][0-9]\.|25[0-5]\.)([0-9]\.|[1-9][0-9]\.|1[0-9][0-9]\.|2[0-4][0-9]\.|25[0-5]\.)\1([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])\b;;30
32;\[(0[1-9]|[12][0-9]|3[01])\/.*\/\1[0-9][0-9]:([01][0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9]) (\+\d{4})];;2579
33;\[(0[1-9]|[12][0-9]|3[01])\/.*\/\1([0-9][0-9]):([01][0-9]|2[0-3]):([0-5][0-9]):\2 (\+\d{4})];;37
34;^([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5]).*\n(\1\.\2\.\3\.\4.*\n){9,};;4
35;^.*("GET .*?").*\n(.*\1.*\n)+;;224
36;"[-"]+"$;"Unknown";190
37;(?<=.* 200 )-(?= ");0;213
38;^66.249.7([0-9]).([0-9])([0-9])([0-9])(?=.*"GET /robots.txt HTTP/1.1");127.0.7\1.\2\3\4;2
39;^.*"GET /blog.*\n;;1942
40;^.*\[(([0-2][0-9]|3[0-1])/May/2015:([0-1][0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9]) \+0000)\].*\n(.*\1.*\n)+;\+;3017
